Episode     1 | score=  1512 | reward=   15.12 | moves= 162 | max_tile=  128
Episode     2 | score=   952 | reward=    9.52 | moves= 113 | max_tile=   64
Episode     3 | score=   680 | reward=    6.80 | moves=  88 | max_tile=   64
Episode     4 | score=   752 | reward=    7.52 | moves= 102 | max_tile=   64
Episode     5 | score=   672 | reward=    6.72 | moves=  88 | max_tile=   64
Episode     6 | score=  1616 | reward=   16.16 | moves= 158 | max_tile=  128
Episode     7 | score=   632 | reward=    6.32 | moves=  87 | max_tile=   64
Episode     8 | score=  2924 | reward=   29.24 | moves= 244 | max_tile=  256
Episode     9 | score=  1036 | reward=   10.36 | moves= 113 | max_tile=  128
Episode    10 | score=  1396 | reward=   13.96 | moves= 142 | max_tile=  128
Episode    11 | score=  1404 | reward=   14.04 | moves= 147 | max_tile=  128
Episode    12 | score=   456 | reward=    4.56 | moves=  66 | max_tile=   64
Episode    13 | score=   912 | reward=    9.12 | moves= 113 | max_tile=   64
Episode    14 | score=  3040 | reward=   30.40 | moves= 246 | max_tile=  256
Episode    15 | score=   688 | reward=    6.88 | moves=  91 | max_tile=   64
Episode    16 | score=   832 | reward=    8.32 | moves= 110 | max_tile=   64
Episode    17 | score=  1420 | reward=   14.20 | moves= 146 | max_tile=  128
Episode    18 | score=   712 | reward=    7.12 | moves=  95 | max_tile=   64
Episode    19 | score=   992 | reward=    9.92 | moves= 107 | max_tile=  128
Episode    20 | score=   776 | reward=    7.76 | moves=  95 | max_tile=   64
Episode    21 | score=  1248 | reward=   12.48 | moves= 124 | max_tile=  128
Episode    22 | score=  2424 | reward=   24.24 | moves= 210 | max_tile=  256
Episode    23 | score=  2148 | reward=   21.48 | moves= 180 | max_tile=  256
Episode    24 | score=   588 | reward=    5.88 | moves=  81 | max_tile=   64
Episode    25 | score=   740 | reward=    7.40 | moves=  98 | max_tile=   64
Episode    26 | score=  1164 | reward=   11.64 | moves= 125 | max_tile=  128
Episode    27 | score=  1280 | reward=   12.80 | moves= 142 | max_tile=   64
Episode    28 | score=  2148 | reward=   21.48 | moves= 202 | max_tile=  128
Episode    29 | score=  1180 | reward=   11.80 | moves= 128 | max_tile=  128
Episode    30 | score=  2208 | reward=   22.08 | moves= 183 | max_tile=  256
Episode    31 | score=   316 | reward=    3.16 | moves=  53 | max_tile=   32
Episode    32 | score=  1620 | reward=   16.20 | moves= 163 | max_tile=  128
Episode    33 | score=  2460 | reward=   24.60 | moves= 212 | max_tile=  256
Episode    34 | score=   884 | reward=    8.84 | moves= 106 | max_tile=   64
