Episode   71 | score=  1164 | reward=   11.64 | moves= 118 | max_tile=  128 | eps=0.808
Episode   72 | score=  1360 | reward=   13.60 | moves= 142 | max_tile=  128 | eps=0.805
Episode   73 | score=  1368 | reward=   13.68 | moves= 143 | max_tile=  128 | eps=0.803
Episode   74 | score=  1064 | reward=   10.64 | moves= 113 | max_tile=  128 | eps=0.801
Episode   75 | score=  1748 | reward=   17.48 | moves= 167 | max_tile=  128 | eps=0.798
Episode   76 | score=  1024 | reward=   10.24 | moves= 110 | max_tile=  128 | eps=0.796
Episode   77 | score=   436 | reward=    4.36 | moves=  71 | max_tile=   32 | eps=0.793
Episode   78 | score=  1176 | reward=   11.76 | moves= 127 | max_tile=  128 | eps=0.791
Episode   79 | score=   680 | reward=    6.80 | moves=  88 | max_tile=   64 | eps=0.789
Episode   80 | score=   508 | reward=    5.08 | moves=  73 | max_tile=   64 | eps=0.786
Episode   81 | score=   808 | reward=    8.08 | moves=  94 | max_tile=   64 | eps=0.784
Episode   82 | score=   660 | reward=    6.60 | moves=  85 | max_tile=   64 | eps=0.782
Episode   83 | score=   564 | reward=    5.64 | moves=  76 | max_tile=   64 | eps=0.779
Episode   84 | score=   500 | reward=    5.00 | moves=  72 | max_tile=   64 | eps=0.777
Episode   85 | score=   824 | reward=    8.24 | moves=  98 | max_tile=   64 | eps=0.775
Episode   86 | score=   652 | reward=    6.52 | moves=  87 | max_tile=   64 | eps=0.772
Episode   87 | score=  1112 | reward=   11.12 | moves= 120 | max_tile=  128 | eps=0.770
Episode   88 | score=   576 | reward=    5.76 | moves=  80 | max_tile=   64 | eps=0.768
Episode   89 | score=   324 | reward=    3.24 | moves=  60 | max_tile=   32 | eps=0.765
Episode   90 | score=  1144 | reward=   11.44 | moves= 120 | max_tile=  128 | eps=0.763
Episode   91 | score=   300 | reward=    3.00 | moves=  55 | max_tile=   32 | eps=0.761
Episode   92 | score=  2020 | reward=   20.20 | moves= 187 | max_tile=  128 | eps=0.758
Episode   93 | score=  2456 | reward=   24.56 | moves= 211 | max_tile=  256 | eps=0.756
Episode   94 | score=  1472 | reward=   14.72 | moves= 151 | max_tile=  128 | eps=0.754
Episode   95 | score=   660 | reward=    6.60 | moves=  88 | max_tile=   64 | eps=0.752
Episode   96 | score=  1420 | reward=   14.20 | moves= 146 | max_tile=  128 | eps=0.749
Episode   97 | score=   880 | reward=    8.80 | moves= 105 | max_tile=   64 | eps=0.747
Episode   98 | score=  1156 | reward=   11.56 | moves= 123 | max_tile=  128 | eps=0.745
Episode   99 | score=   828 | reward=    8.28 | moves= 109 | max_tile=   64 | eps=0.743
Episode  100 | score=  2852 | reward=   28.52 | moves= 235 | max_tile=  256 | eps=0.740
Episode  101 | score=  1364 | reward=   13.64 | moves= 137 | max_tile=  128 | eps=0.738
Episode  102 | score=  1016 | reward=   10.16 | moves= 109 | max_tile=  128 | eps=0.736
Episode  103 | score=  2108 | reward=   21.08 | moves= 181 | max_tile=  256 | eps=0.734
Episode  104 | score=  1148 | reward=   11.48 | moves= 121 | max_tile=  128 | eps=0.732
Episode  105 | score=  1340 | reward=   13.40 | moves= 137 | max_tile=  128 | eps=0.729
Episode  106 | score=   540 | reward=    5.40 | moves=  74 | max_tile=   64 | eps=0.727
Episode  107 | score=   916 | reward=    9.16 | moves= 111 | max_tile=   64 | eps=0.725
Episode  108 | score=  1816 | reward=   18.16 | moves= 171 | max_tile=  128 | eps=0.723
Episode  109 | score=   612 | reward=    6.12 | moves=  83 | max_tile=   64 | eps=0.721
Episode  110 | score=  1148 | reward=   11.48 | moves= 122 | max_tile=  128 | eps=0.719
Episode  111 | score=  1056 | reward=   10.56 | moves= 112 | max_tile=  128 | eps=0.716
Episode  112 | score=   296 | reward=    2.96 | moves=  56 | max_tile=   32 | eps=0.714
Episode  113 | score=   904 | reward=    9.04 | moves= 112 | max_tile=   64 | eps=0.712
Episode  114 | score=   348 | reward=    3.48 | moves=  59 | max_tile=   32 | eps=0.710
Episode  115 | score=   276 | reward=    2.76 | moves=  52 | max_tile=   32 | eps=0.708
Episode  116 | score=  1340 | reward=   13.40 | moves= 138 | max_tile=  128 | eps=0.706
Episode  117 | score=  1244 | reward=   12.44 | moves= 138 | max_tile=  128 | eps=0.704
Episode  118 | score=  3104 | reward=   31.04 | moves= 257 | max_tile=  256 | eps=0.702
Episode  119 | score=  2008 | reward=   20.08 | moves= 180 | max_tile=  128 | eps=0.699
Episode  120 | score=   360 | reward=    3.60 | moves=  62 | max_tile=   32 | eps=0.697
Episode  121 | score=  2008 | reward=   20.08 | moves= 169 | max_tile=  256 | eps=0.695
Episode  122 | score=  2776 | reward=   27.76 | moves= 227 | max_tile=  256 | eps=0.693
Episode  123 | score=   692 | reward=    6.92 | moves=  91 | max_tile=   64 | eps=0.691
Episode  124 | score=  1268 | reward=   12.68 | moves= 130 | max_tile=  128 | eps=0.689
Episode  125 | score=  1296 | reward=   12.96 | moves= 133 | max_tile=  128 | eps=0.687
Episode  126 | score=  1296 | reward=   12.96 | moves= 131 | max_tile=  128 | eps=0.685
Episode  127 | score=   580 | reward=    5.80 | moves=  80 | max_tile=   64 | eps=0.683
Episode  128 | score=   880 | reward=    8.80 | moves=  96 | max_tile=  128 | eps=0.681
Episode  129 | score=  1368 | reward=   13.68 | moves= 143 | max_tile=  128 | eps=0.679
Episode  130 | score=   592 | reward=    5.92 | moves=  80 | max_tile=   64 | eps=0.677
Episode  131 | score=  1404 | reward=   14.04 | moves= 145 | max_tile=  128 | eps=0.675
Episode  132 | score=  1484 | reward=   14.84 | moves= 149 | max_tile=  128 | eps=0.673
Episode  133 | score=  1100 | reward=   11.00 | moves= 121 | max_tile=  128 | eps=0.671
Episode  134 | score=  1412 | reward=   14.12 | moves= 146 | max_tile=  128 | eps=0.669
Episode  135 | score=   632 | reward=    6.32 | moves=  88 | max_tile=   64 | eps=0.667
Episode  136 | score=   912 | reward=    9.12 | moves= 110 | max_tile=   64 | eps=0.665
Episode  137 | score=   868 | reward=    8.68 | moves= 103 | max_tile=   64 | eps=0.663
Episode  138 | score=   660 | reward=    6.60 | moves=  86 | max_tile=   64 | eps=0.661
Episode  139 | score=   732 | reward=    7.32 | moves=  98 | max_tile=   64 | eps=0.659
Episode  140 | score=   908 | reward=    9.08 | moves= 112 | max_tile=   64 | eps=0.657
Episode  141 | score=  2148 | reward=   21.48 | moves= 180 | max_tile=  256 | eps=0.655
Episode  142 | score=   688 | reward=    6.88 | moves=  91 | max_tile=   64 | eps=0.653
Episode  143 | score=  1760 | reward=   17.60 | moves= 166 | max_tile=  128 | eps=0.651
Episode  144 | score=   972 | reward=    9.72 | moves= 103 | max_tile=  128 | eps=0.649
Episode  145 | score=  1224 | reward=   12.24 | moves= 128 | max_tile=  128 | eps=0.647
Episode  146 | score=   748 | reward=    7.48 | moves=  99 | max_tile=   64 | eps=0.645
Episode  147 | score=  1180 | reward=   11.80 | moves= 120 | max_tile=  128 | eps=0.643
Episode  148 | score=   768 | reward=    7.68 | moves= 102 | max_tile=   64 | eps=0.641
Episode  149 | score=  1248 | reward=   12.48 | moves= 130 | max_tile=  128 | eps=0.639
Episode  150 | score=   972 | reward=    9.72 | moves= 104 | max_tile=  128 | eps=0.637
Episode  151 | score=   680 | reward=    6.80 | moves=  94 | max_tile=   64 | eps=0.635
Episode  152 | score=  1708 | reward=   17.08 | moves= 172 | max_tile=  128 | eps=0.633
Episode  153 | score=  1152 | reward=   11.52 | moves= 125 | max_tile=  128 | eps=0.631
Episode  154 | score=   608 | reward=    6.08 | moves=  83 | max_tile=   64 | eps=0.630
Episode  155 | score=  1504 | reward=   15.04 | moves= 153 | max_tile=  128 | eps=0.628
Episode  156 | score=   852 | reward=    8.52 | moves= 104 | max_tile=   64 | eps=0.626
Episode  157 | score=  1500 | reward=   15.00 | moves= 153 | max_tile=  128 | eps=0.624
Episode  158 | score=  1500 | reward=   15.00 | moves= 159 | max_tile=  128 | eps=0.622
Episode  159 | score=  1044 | reward=   10.44 | moves= 114 | max_tile=  128 | eps=0.620
Episode  160 | score=  2076 | reward=   20.76 | moves= 176 | max_tile=  256 | eps=0.618
Episode  161 | score=   744 | reward=    7.44 | moves=  93 | max_tile=   64 | eps=0.616
Episode  162 | score=   780 | reward=    7.80 | moves= 101 | max_tile=   64 | eps=0.615
Episode  163 | score=   600 | reward=    6.00 | moves=  81 | max_tile=   64 | eps=0.613
Episode  164 | score=   552 | reward=    5.52 | moves=  78 | max_tile=   64 | eps=0.611
Episode  165 | score=   924 | reward=    9.24 | moves= 112 | max_tile=   64 | eps=0.609
Episode  166 | score=  1468 | reward=   14.68 | moves= 156 | max_tile=  128 | eps=0.607
Episode  167 | score=  1036 | reward=   10.36 | moves= 110 | max_tile=  128 | eps=0.605
Episode  168 | score=   328 | reward=    3.28 | moves=  60 | max_tile=   32 | eps=0.604
Episode  169 | score=   676 | reward=    6.76 | moves=  89 | max_tile=   64 | eps=0.602
Episode  170 | score=   568 | reward=    5.68 | moves=  79 | max_tile=   64 | eps=0.600
Episode  171 | score=   592 | reward=    5.92 | moves=  81 | max_tile=   64 | eps=0.598
Episode  172 | score=   316 | reward=    3.16 | moves=  58 | max_tile=   32 | eps=0.596
Episode  173 | score=   744 | reward=    7.44 | moves=  96 | max_tile=   64 | eps=0.595
Episode  174 | score=   748 | reward=    7.48 | moves=  97 | max_tile=   64 | eps=0.593
Episode  175 | score=  1628 | reward=   16.28 | moves= 165 | max_tile=  128 | eps=0.591
Episode  176 | score=  1260 | reward=   12.60 | moves= 132 | max_tile=  128 | eps=0.589
Episode  177 | score=   664 | reward=    6.64 | moves=  88 | max_tile=   64 | eps=0.588
Episode  178 | score=  1284 | reward=   12.84 | moves= 132 | max_tile=  128 | eps=0.586
Episode  179 | score=  1516 | reward=   15.16 | moves= 153 | max_tile=  128 | eps=0.584
Episode  180 | score=   656 | reward=    6.56 | moves=  87 | max_tile=   64 | eps=0.582
Episode  181 | score=  1352 | reward=   13.52 | moves= 139 | max_tile=  128 | eps=0.581
Episode  182 | score=  1184 | reward=   11.84 | moves= 129 | max_tile=  128 | eps=0.579
Episode  183 | score=   676 | reward=    6.76 | moves=  90 | max_tile=   64 | eps=0.577
Episode  184 | score=  1344 | reward=   13.44 | moves= 138 | max_tile=  128 | eps=0.575
Episode  185 | score=   900 | reward=    9.00 | moves= 107 | max_tile=   64 | eps=0.574
Episode  186 | score=   600 | reward=    6.00 | moves=  84 | max_tile=   64 | eps=0.572
Episode  187 | score=   304 | reward=    3.04 | moves=  58 | max_tile=   32 | eps=0.570
Episode  188 | score=  2296 | reward=   22.96 | moves= 193 | max_tile=  256 | eps=0.568
Episode  189 | score=   652 | reward=    6.52 | moves=  92 | max_tile=   64 | eps=0.567
Episode  190 | score=   628 | reward=    6.28 | moves=  87 | max_tile=   64 | eps=0.565
Episode  191 | score=   344 | reward=    3.44 | moves=  57 | max_tile=   32 | eps=0.563
Episode  192 | score=   740 | reward=    7.40 | moves=  96 | max_tile=   64 | eps=0.562
Episode  193 | score=  1192 | reward=   11.92 | moves= 124 | max_tile=  128 | eps=0.560
Episode  194 | score=  1216 | reward=   12.16 | moves= 133 | max_tile=  128 | eps=0.558
Episode  195 | score=  1452 | reward=   14.52 | moves= 152 | max_tile=  128 | eps=0.557
Episode  196 | score=  1128 | reward=   11.28 | moves= 119 | max_tile=  128 | eps=0.555
Episode  197 | score=   960 | reward=    9.60 | moves= 105 | max_tile=  128 | eps=0.553
Episode  198 | score=  1220 | reward=   12.20 | moves= 124 | max_tile=  128 | eps=0.552
Episode  199 | score=   868 | reward=    8.68 | moves= 103 | max_tile=   64 | eps=0.550
Episode  200 | score=   704 | reward=    7.04 | moves=  94 | max_tile=   64 | eps=0.548
Episode  201 | score=  1620 | reward=   16.20 | moves= 147 | max_tile=  128 | eps=0.547
Episode  202 | score=   820 | reward=    8.20 | moves= 106 | max_tile=   64 | eps=0.545
Episode  203 | score=  1116 | reward=   11.16 | moves= 118 | max_tile=  128 | eps=0.543
Episode  204 | score=  2312 | reward=   23.12 | moves= 191 | max_tile=  256 | eps=0.542
Episode  205 | score=  1576 | reward=   15.76 | moves= 155 | max_tile=  128 | eps=0.540
Episode  206 | score=   600 | reward=    6.00 | moves=  81 | max_tile=   64 | eps=0.539
Episode  207 | score=   464 | reward=    4.64 | moves=  67 | max_tile=   64 | eps=0.537
Episode  208 | score=   988 | reward=    9.88 | moves= 103 | max_tile=  128 | eps=0.535
