episode,score,reward,moves,max_tile,epsilon
1,2040,20.39999999999997,194,128,0.2994
2,2128,21.279999999999973,177,256,0.2988012
3,1164,11.639999999999993,124,128,0.2982035976
4,956,9.559999999999997,114,64,0.2976071904048
5,1324,13.23999999999999,134,128,0.2970119760239904
6,936,9.359999999999996,114,64,0.2964179520719424
7,636,6.360000000000003,89,64,0.2958251161677985
8,1456,14.559999999999985,154,128,0.2952334659354629
9,2356,23.559999999999963,199,256,0.294642999003592
10,2144,21.43999999999997,179,256,0.2940537130055848
11,1740,17.399999999999974,162,128,0.29346560557957363
12,2772,27.719999999999963,226,256,0.29287867436841447
13,1724,17.239999999999984,162,128,0.29229291701967763
14,2024,20.23999999999997,189,128,0.29170833118563827
15,2156,21.55999999999996,203,128,0.291124914523267
16,856,8.559999999999999,105,64,0.29054266469422046
17,1340,13.399999999999993,137,128,0.289961579364832
18,1568,15.679999999999989,158,128,0.28938165620610234
19,1276,12.759999999999986,136,128,0.28880289289369016
20,1360,13.599999999999993,138,128,0.2882252871079028
21,1324,13.239999999999993,136,128,0.287648836533687
22,1048,10.479999999999995,112,128,0.28707353886061965
23,1212,12.11999999999999,129,128,0.2864993917828984
24,1316,13.159999999999988,135,128,0.2859263929993326
25,516,5.160000000000001,76,64,0.28535454021333395
26,1376,13.759999999999986,145,128,0.2847838311329073
27,1464,14.639999999999981,152,128,0.2842142634706415
28,1588,15.87999999999998,159,128,0.2836458349437002
29,852,8.52,102,64,0.2830785432738128
30,356,3.5600000000000014,61,32,0.2825123861872652
31,1332,13.319999999999991,139,128,0.2819473614148907
32,860,8.600000000000003,102,64,0.2813834666920609
33,2348,23.47999999999997,201,256,0.28082069975867674
34,2316,23.159999999999965,194,256,0.2802590583591594
35,2168,21.67999999999997,186,256,0.27969854024244106
36,1156,11.559999999999992,134,64,0.2791391431619562
37,1304,13.039999999999985,136,128,0.2785808648756323
38,744,7.440000000000004,99,64,0.278023703145881
39,764,7.640000000000003,103,64,0.2774676557395892
40,1128,11.27999999999999,120,128,0.27691272042811005
41,644,6.440000000000002,91,64,0.2763588949872538
42,624,6.240000000000003,86,64,0.2758061771972793
43,1012,10.12,108,128,0.27525456484288474
44,1296,12.959999999999996,132,128,0.27470405571319895
45,1984,19.839999999999975,160,256,0.27415464760177255
46,704,7.040000000000004,93,64,0.273606338306569
47,592,5.920000000000002,82,64,0.2730591256299559
48,2712,27.119999999999955,221,256,0.272513007378696
49,1408,14.079999999999993,146,128,0.2719679813639386
50,1328,13.279999999999996,135,128,0.27142404540121073
51,664,6.640000000000003,89,64,0.27088119731040833
52,1472,14.719999999999988,156,128,0.2703394349157875
53,2200,21.999999999999975,178,256,0.26979875604595593
54,1760,17.59999999999997,167,128,0.269259158533864
55,2492,24.919999999999952,216,256,0.26872064021679626
56,1432,14.31999999999998,148,128,0.26818319893636267
57,584,5.8400000000000025,80,64,0.2676468325384899
58,1412,14.11999999999998,148,128,0.26711153887341293
59,708,7.080000000000004,94,64,0.2665773157956661
60,824,8.24,103,64,0.2660441611640748
61,1288,12.87999999999999,129,128,0.26551207284174666
62,824,8.240000000000002,98,64,0.26498104869606315
63,488,4.880000000000002,67,64,0.264451086598671
64,1456,14.559999999999983,152,128,0.26392218442547366
65,1208,12.079999999999998,128,128,0.2633943400566227
66,1008,10.079999999999993,107,128,0.26286755137650947
67,944,9.439999999999998,116,64,0.26234181627375647
68,624,6.240000000000002,86,64,0.2618171326412089
69,728,7.280000000000004,98,64,0.2612934983759265
70,960,9.599999999999998,111,64,0.2607709113791747
71,1056,10.559999999999988,118,128,0.2602493695564163
72,1352,13.519999999999989,139,128,0.2597288708173035
73,2124,21.23999999999998,178,256,0.2592094130756689
74,2480,24.799999999999958,213,256,0.2586909942495176
75,1440,14.39999999999998,149,128,0.25817361226101854
76,1476,14.759999999999984,154,128,0.2576572650364965
77,880,8.799999999999997,106,64,0.2571419505064235
78,1500,14.999999999999995,143,128,0.2566276666054107
79,1304,13.039999999999996,136,128,0.25611441127219986
80,648,6.480000000000003,85,64,0.25560218244965544
81,1428,14.279999999999992,147,128,0.2550909780847561
82,792,7.920000000000003,96,64,0.2545807961285866
83,724,7.240000000000003,95,64,0.2540716345363294
84,732,7.320000000000004,97,64,0.25356349126725675
85,940,9.399999999999999,101,128,0.2530563642847222
86,1204,12.039999999999996,123,128,0.2525502515561528
87,1324,13.239999999999988,136,128,0.2520451510530405
88,1272,12.719999999999995,128,128,0.2515410607509344
89,2512,25.119999999999973,203,256,0.25103797862943256
90,1276,12.759999999999986,136,128,0.2505359026721737
91,804,8.040000000000003,97,64,0.2500348308668293
92,656,6.560000000000002,92,64,0.24953476120509566
93,2400,23.999999999999964,198,256,0.24903569168268547
94,1256,12.559999999999986,129,128,0.24853762029932008
95,1720,17.199999999999974,171,128,0.24804054505872145
96,396,3.9600000000000017,65,32,0.247544463968604
97,1180,11.799999999999992,121,128,0.2470493750406668
98,2480,24.799999999999955,208,256,0.24655527629058546
99,2080,20.79999999999998,172,256,0.2460621657380043
100,1016,10.159999999999993,124,64,0.2455700414065283
101,1572,15.719999999999986,155,128,0.24507890132371524
102,1332,13.319999999999988,138,128,0.2445887435210678
103,924,9.239999999999997,110,64,0.24409956603402566
104,1436,14.35999999999999,147,128,0.24361136690195762
105,616,6.160000000000003,84,64,0.2431241441681537
106,1108,11.079999999999991,120,128,0.2426378958798174
107,2376,23.759999999999966,196,256,0.24215262008805777
108,1156,11.559999999999997,123,128,0.24166831484788165
109,848,8.480000000000002,109,64,0.24118497821818588
110,1168,11.679999999999986,129,128,0.2407026082617495
111,3088,30.87999999999993,257,256,0.24022120304522598
112,1708,17.079999999999988,157,128,0.23974076063913552
113,1300,12.999999999999988,132,128,0.23926127911785725
114,1036,10.360000000000001,114,128,0.23878275655962153
115,1696,16.959999999999983,169,128,0.23830519104650227
116,2452,24.51999999999996,206,256,0.23782858066440926
117,512,5.120000000000002,78,32,0.23735292350308043
118,236,2.3600000000000003,50,16,0.23687821765607428
119,2072,20.71999999999997,189,128,0.23640446122076214
120,576,5.760000000000002,79,64,0.2359316522983206
121,1384,13.839999999999986,146,128,0.23545978899372397
122,692,6.9200000000000035,92,64,0.23498886941573652
123,1300,12.99999999999999,135,128,0.23451889167690504
124,2796,27.95999999999995,227,256,0.23404985389355124
125,544,5.440000000000001,74,64,0.23358175418576413
126,1348,13.479999999999988,139,128,0.2331145906773926
127,2444,24.439999999999962,209,256,0.23264836149603782
128,1636,16.359999999999985,162,128,0.23218306477304573
129,1136,11.359999999999996,125,64,0.23171869864349964
130,1464,14.63999999999999,155,128,0.23125526124621265
131,1584,15.83999999999999,157,128,0.2307927507237202
132,1096,10.959999999999996,123,128,0.23033116522227276
133,648,6.480000000000003,88,64,0.22987050289182823
134,2576,25.75999999999996,214,256,0.22941076188604456
135,580,5.8000000000000025,79,64,0.22895194036227248
136,684,6.840000000000003,90,64,0.22849403648154792
137,1660,16.599999999999987,154,128,0.22803704840858482
138,1312,13.119999999999992,134,128,0.22758097431176766
139,1052,10.51999999999999,113,128,0.22712581236314414
140,716,7.160000000000003,96,64,0.22667156073841785
141,2104,21.039999999999974,177,256,0.22621821761694103
142,628,6.280000000000002,88,64,0.22576578118170715
143,664,6.640000000000003,86,64,0.22531424961934374
144,1436,14.359999999999989,150,128,0.22486362112010505
145,400,4.000000000000002,63,32,0.22441389387786484
146,1300,12.999999999999993,132,128,0.2239650660901091
147,680,6.8000000000000025,94,64,0.22351713595792888
148,696,6.9600000000000035,95,64,0.22307010168601302
149,908,9.079999999999995,99,128,0.222623961482641
150,636,6.360000000000001,82,64,0.22217871355967572
151,1008,10.079999999999995,108,128,0.22173435613255638
152,1200,11.99999999999999,123,128,0.22129088742029127
153,2152,21.51999999999997,184,256,0.2208483056454507
154,1268,12.679999999999989,131,128,0.2204066090341598
155,1144,11.439999999999987,124,128,0.21996579581609146
156,2224,22.239999999999966,190,256,0.21952586422445927
157,1628,16.279999999999983,164,128,0.21908681249601036
158,836,8.360000000000001,100,64,0.21864863887101835
159,2416,24.159999999999968,206,256,0.21821134159327632
160,2056,20.559999999999974,172,256,0.21777491891008977
161,700,7.000000000000002,93,64,0.21733936907226958
162,1272,12.719999999999994,130,128,0.21690469033412504
163,1476,14.75999999999999,153,128,0.2164708809534568
164,1344,13.439999999999992,141,128,0.21603793919154987
165,1776,17.759999999999977,168,128,0.21560586331316678
166,796,7.960000000000004,100,64,0.21517465158654045
167,3156,31.559999999999945,258,256,0.21474430228336736
168,628,6.280000000000002,86,64,0.21431481367880062
169,884,8.840000000000002,110,64,0.21388618405144302
170,1116,11.159999999999997,117,128,0.21345841168334015
171,2396,23.959999999999958,204,256,0.21303149485997347
172,1108,11.079999999999991,122,128,0.21260543187025352
173,2564,25.639999999999944,217,256,0.21218022100651301
174,1468,14.679999999999984,155,128,0.2117558605645
175,1460,14.599999999999984,144,128,0.211332348843371
176,1408,14.079999999999982,145,128,0.21090968414568426
177,1332,13.319999999999993,138,128,0.2104878647773929
178,656,6.560000000000002,83,64,0.2100668890478381
179,1316,13.15999999999999,135,128,0.2096467552697424
180,1080,10.799999999999995,118,128,0.20922746175920293
181,900,8.999999999999996,96,128,0.2088090068356845
182,624,6.240000000000003,86,64,0.20839138882201313
183,1208,12.079999999999991,125,128,0.2079746060443691
184,2028,20.27999999999998,165,256,0.20755865683228036
185,1308,13.079999999999997,133,128,0.2071435395186158
186,1168,11.679999999999987,124,128,0.20672925243957857
187,2224,22.23999999999996,195,256,0.20631579393469943
188,568,5.680000000000002,81,64,0.20590316234683004
189,1436,14.359999999999994,148,128,0.2054913560221364
190,792,7.9200000000000035,105,64,0.20508037331009213
191,1300,12.999999999999991,133,128,0.20467021256347195
192,1240,12.399999999999991,130,128,0.204260872138345
193,1352,13.519999999999985,142,128,0.20385235039406832
194,2364,23.639999999999954,200,256,0.2034446456932802
195,628,6.280000000000003,84,64,0.20303775640189364
196,1588,15.879999999999974,169,128,0.20263168088908987
197,300,3.000000000000001,58,32,0.20222641752731169
198,4420,44.1999999999999,288,512,0.20182196469225705
199,1280,12.799999999999994,130,128,0.20141832076287253
200,2048,20.479999999999983,189,128,0.2010154841213468
201,2516,25.159999999999947,211,256,0.20061345315310408
202,296,2.960000000000001,57,32,0.20021222624679788
203,1352,13.519999999999989,143,128,0.19981180179430427
204,764,7.640000000000003,104,64,0.19941217819071566
205,1384,13.839999999999991,147,128,0.19901335383433422
206,1252,12.51999999999999,131,128,0.19861532712666555
207,1044,10.439999999999998,114,128,0.1982180964724122
208,1376,13.759999999999987,145,128,0.19782166027946738
209,1336,13.359999999999998,139,128,0.19742601695890843
210,1464,14.639999999999988,151,128,0.19703116492499062
211,932,9.319999999999997,115,64,0.19663710259514064
212,372,3.720000000000001,63,32,0.19624382838995036
213,972,9.719999999999994,117,64,0.19585134073317045
214,792,7.9200000000000035,99,64,0.1954596380517041
215,1824,18.239999999999974,177,128,0.1950687187756007
216,2672,26.719999999999963,214,256,0.1946785813380495
217,608,6.080000000000001,86,64,0.1942892241753734
218,640,6.400000000000003,89,64,0.19390064572702265
219,1588,15.879999999999985,156,128,0.1935128444355686
220,1476,14.759999999999994,145,128,0.19312581874669746
221,1852,18.519999999999975,174,128,0.19273956710920406
222,1344,13.439999999999996,138,128,0.19235408797498565
223,652,6.520000000000002,85,64,0.1919693797990357
224,1008,10.079999999999993,107,128,0.19158544103943762
225,1860,18.599999999999977,184,128,0.19120227015735874
226,376,3.760000000000001,63,32,0.19081986561704403
227,636,6.360000000000003,88,64,0.19043822588580994
228,276,2.7600000000000007,52,32,0.19005734943403832
229,1352,13.519999999999985,143,128,0.18967723473517023
230,732,7.320000000000002,91,64,0.18929788026569988
231,644,6.440000000000003,90,64,0.18891928450516848
232,1428,14.279999999999982,148,128,0.18854144593615815
233,1968,19.679999999999968,183,128,0.18816436304428583
234,556,5.560000000000002,77,64,0.18778803431819727
235,1448,14.479999999999984,150,128,0.18741245824956088
236,1060,10.599999999999996,119,64,0.18703763333306175
237,376,3.7600000000000007,62,32,0.18666355806639562
238,1008,10.079999999999995,108,128,0.18629023095026281
239,452,4.520000000000001,65,64,0.18591765048836228
240,1288,12.879999999999992,128,128,0.18554581518738555
241,1440,14.399999999999986,150,128,0.18517472355701078
242,1840,18.399999999999977,174,128,0.18480437410989675
243,1480,14.799999999999988,152,128,0.18443476536167697
244,1424,14.239999999999982,149,128,0.18406589583095362
245,1264,12.639999999999988,133,128,0.18369776403929172
246,1028,10.279999999999996,112,128,0.18333036851121315
247,632,6.320000000000003,87,64,0.18296370777419071
248,600,6.000000000000003,81,64,0.18259778035864233
249,2764,27.63999999999995,225,256,0.18223258479792503
250,820,8.200000000000001,109,64,0.1818681196283292
251,1540,15.399999999999988,151,128,0.18150438338907254
252,2436,24.359999999999957,212,256,0.1811413746222944
253,628,6.280000000000002,88,64,0.1807790918730498
254,1576,15.759999999999982,155,128,0.1804175336893037
255,1088,10.879999999999999,127,64,0.18005669862192508
256,1032,10.319999999999993,126,64,0.17969658522468124
257,480,4.8000000000000025,77,32,0.17933719205423188
258,988,9.879999999999992,117,64,0.1789785176701234
259,816,8.160000000000002,102,64,0.17862056063478315
260,2172,21.71999999999997,185,256,0.1782633195135136
