episode,score,reward,moves,max_tile,epsilon
1,1348,13.479999999999992,139,128,0.995
2,1168,11.679999999999987,126,128,0.990025
3,1968,19.67999999999998,163,256,0.985074875
4,636,6.360000000000003,88,64,0.9801495006250001
5,1156,11.559999999999997,123,128,0.9752487531218751
6,1432,14.31999999999999,147,128,0.9703725093562657
7,1316,13.159999999999993,136,128,0.9655206468094844
8,572,5.7200000000000015,79,64,0.960693043575437
9,700,7.0000000000000036,93,64,0.9558895783575597
10,620,6.200000000000002,83,64,0.9511101304657719
11,1636,16.359999999999978,165,128,0.946354579813443
12,884,8.839999999999998,108,64,0.9416228069143757
13,2200,21.999999999999975,180,256,0.9369146928798039
14,544,5.440000000000002,75,64,0.9322301194154049
15,1080,10.799999999999995,113,128,0.9275689688183278
16,2016,20.159999999999982,167,256,0.9229311239742362
17,2328,23.279999999999973,196,256,0.918316468354365
18,644,6.440000000000003,88,64,0.9137248860125932
19,872,8.719999999999999,111,64,0.9091562615825302
20,716,7.160000000000004,94,64,0.9046104802746175
21,1348,13.47999999999999,139,128,0.9000874278732445
22,1032,10.319999999999995,112,128,0.8955869907338783
23,1128,11.279999999999996,121,128,0.8911090557802088
24,1492,14.919999999999987,153,128,0.8866535105013078
25,588,5.880000000000002,81,64,0.8822202429488013
26,868,8.680000000000001,107,64,0.8778091417340573
27,1012,10.120000000000003,108,128,0.8734200960253871
28,544,5.440000000000002,77,64,0.8690529955452602
29,1320,13.199999999999996,137,128,0.8647077305675338
30,1340,13.399999999999993,140,128,0.8603841919146962
31,2700,26.99999999999995,227,256,0.8560822709551227
32,1136,11.359999999999987,121,128,0.851801859600347
33,1068,10.679999999999994,112,128,0.8475428503023453
34,764,7.640000000000003,104,64,0.8433051360508336
35,608,6.080000000000003,83,64,0.8390886103705794
36,1628,16.279999999999987,165,128,0.8348931673187264
37,568,5.6800000000000015,77,64,0.8307187014821328
38,1040,10.399999999999997,112,128,0.8265651079747222
39,1344,13.439999999999994,142,128,0.8224322824348486
40,716,7.160000000000004,97,64,0.8183201210226743
41,1948,19.479999999999972,178,128,0.8142285204175609
42,528,5.280000000000002,72,64,0.810157377815473
43,548,5.480000000000002,76,64,0.8061065909263957
44,1028,10.279999999999998,111,128,0.8020760579717637
45,1252,12.51999999999999,128,128,0.798065677681905
46,1204,12.039999999999992,133,128,0.7940753492934954
47,672,6.720000000000003,89,64,0.7901049725470279
48,652,6.520000000000002,89,64,0.7861544476842928
49,1456,14.55999999999999,153,128,0.7822236754458713
50,1008,10.08,107,128,0.778312557068642
51,1060,10.599999999999993,115,128,0.7744209942832988
52,2292,22.919999999999977,190,256,0.7705488893118823
53,992,9.919999999999993,118,64,0.7666961448653229
54,696,6.960000000000003,96,64,0.7628626641409962
55,2552,25.519999999999953,215,256,0.7590483508202912
56,660,6.600000000000003,91,64,0.7552531090661897
57,1292,12.91999999999999,133,128,0.7514768435208588
58,620,6.200000000000003,85,64,0.7477194593032545
59,944,9.440000000000003,103,128,0.7439808620067382
60,672,6.720000000000002,90,64,0.7402609576967045
61,1312,13.119999999999996,133,128,0.736559652908221
62,536,5.360000000000003,83,32,0.7328768546436799
63,1732,17.319999999999983,160,128,0.7292124703704616
64,1500,14.999999999999991,160,128,0.7255664080186093
65,1204,12.039999999999992,124,128,0.7219385759785162
66,2140,21.399999999999967,180,256,0.7183288830986236
67,684,6.840000000000003,89,64,0.7147372386831305
68,768,7.680000000000004,103,64,0.7111635524897149
69,1208,12.079999999999995,125,128,0.7076077347272662
70,1160,11.59999999999999,127,128,0.7040696960536299
71,1312,13.119999999999994,134,128,0.7005493475733617
72,1072,10.719999999999988,118,128,0.697046600835495
73,724,7.240000000000003,95,64,0.6935613678313175
74,1232,12.319999999999991,139,64,0.6900935609921609
75,1284,12.839999999999995,131,128,0.6866430931872001
76,712,7.120000000000004,95,64,0.6832098777212641
77,1316,13.159999999999993,136,128,0.6797938283326578
78,808,8.080000000000002,100,64,0.6763948591909945
79,772,7.720000000000004,105,64,0.6730128848950395
80,748,7.480000000000003,101,64,0.6696478204705644
81,1348,13.479999999999995,139,128,0.6662995813682115
82,580,5.8000000000000025,80,64,0.6629680834613705
83,1324,13.239999999999993,136,128,0.6596532430440636
84,1300,12.999999999999991,142,128,0.6563549768288433
85,1328,13.27999999999999,137,128,0.653073201944699
86,468,4.680000000000001,73,32,0.6498078359349755
87,1340,13.399999999999995,136,128,0.6465587967553006
88,660,6.600000000000003,89,64,0.6433260027715241
89,768,7.680000000000003,94,64,0.6401093727576664
90,1112,11.119999999999996,117,128,0.6369088258938781
91,1132,11.319999999999995,120,128,0.6337242817644086
92,1320,13.199999999999992,135,128,0.6305556603555866
93,1056,10.559999999999999,113,128,0.6274028820538087
94,1344,13.439999999999992,141,128,0.6242658676435396
95,692,6.9200000000000035,92,64,0.6211445383053219
96,1348,13.479999999999992,138,128,0.6180388156137953
97,960,9.600000000000001,113,64,0.6149486215357263
98,1164,11.639999999999992,125,128,0.6118738784280476
99,672,6.720000000000002,90,64,0.6088145090359074
100,928,9.279999999999998,99,128,0.6057704364907278
101,1132,11.319999999999999,120,128,0.6027415843082742
102,388,3.880000000000001,64,32,0.5997278763867329
103,612,6.120000000000003,87,64,0.5967292370047992
104,436,4.360000000000001,72,32,0.5937455908197752
105,1428,14.279999999999994,145,128,0.5907768628656763
106,384,3.840000000000001,63,32,0.5878229785513479
107,1448,14.479999999999988,151,128,0.5848838636585911
108,560,5.600000000000002,78,64,0.5819594443402982
109,1388,13.87999999999999,143,128,0.5790496471185967
110,2248,22.47999999999997,187,256,0.5761543988830038
111,1320,13.199999999999992,137,128,0.5732736268885887
112,1324,13.23999999999999,137,128,0.5704072587541458
113,740,7.400000000000004,97,64,0.567555222460375
114,1280,12.799999999999988,131,128,0.5647174463480732
115,1496,14.959999999999988,153,128,0.5618938591163328
116,1744,17.43999999999997,175,128,0.5590843898207511
